iteration,total_iterations,elapsed_ms,learning_rate,loss
10,200,14848.9,0.0004980289,9.386775
20,200,14560.1,0.0004900758,6.516458
30,200,14555.0,0.000476217,6.367045
40,200,14568.7,0.0004568008,6.257888
50,200,14577.2,0.0004323148,6.182938
60,200,14583.0,0.0004033744,6.099751
70,200,14603.6,0.0003707064,5.990247
80,200,14587.5,0.0003351317,5.911528
90,200,14598.4,0.0002975438,5.828206
100,200,14635.5,0.0002588872,5.735725
110,200,14644.0,0.0002201329,5.640382
120,200,14631.9,0.0001822545,5.540219
130,200,14613.2,0.0001462037,5.476299
140,200,14632.8,0.0001128861,5.412453
150,200,14646.3,8.313865e-05,5.373436
160,200,14621.0,5.770879e-05,5.352412
170,200,14624.2,3.723531e-05,5.339822
180,200,14633.7,2.223258e-05,5.325707
190,200,14635.1,1.307747e-05,5.305075
200,200,14625.5,1e-05,5.296812
