iteration,total_iterations,elapsed_ms,learning_rate,loss
10,200,2841.5,0.0004980289,9.611567
20,200,2563.9,0.0004900758,6.574688
30,200,2570.2,0.000476217,6.409865
40,200,2599.7,0.0004568008,6.402122
50,200,2575.4,0.0004323148,6.1801
60,200,2577.6,0.0004033744,6.100469
70,200,2582.5,0.0003707064,5.964232
80,200,2583.8,0.0003351317,5.834087
90,200,2586.0,0.0002975438,5.700554
100,200,2585.7,0.0002588872,5.609845
110,200,2585.5,0.0002201329,5.530295
120,200,2583.5,0.0001822545,5.440173
130,200,2581.9,0.0001462037,5.380343
140,200,2579.6,0.0001128861,5.318896
150,200,2603.9,8.313865e-05,5.279329
160,200,2608.3,5.770879e-05,5.256905
170,200,2584.4,3.723531e-05,5.243938
180,200,2585.6,2.223258e-05,5.230653
190,200,2579.9,1.307747e-05,5.208057
200,200,2587.6,1e-05,5.200235
