iteration,total_iterations,elapsed_ms,learning_rate,loss
10,200,7591.2,0.0004980289,9.384245
20,200,7384.1,0.0004900758,6.516135
30,200,7363.3,0.000476217,6.366695
40,200,7371.6,0.0004568008,6.253367
50,200,7365.7,0.0004323148,6.167932
60,200,7370.5,0.0004033744,6.086775
70,200,7382.1,0.0003707064,5.977793
80,200,7384.6,0.0003351317,5.897295
90,200,7386.8,0.0002975438,5.787831
100,200,7387.6,0.0002588872,5.687253
110,200,7389.0,0.0002201329,5.610424
120,200,7391.8,0.0001822545,5.510685
130,200,7392.5,0.0001462037,5.447905
140,200,7399.6,0.0001128861,5.387271
150,200,7394.1,8.313865e-05,5.353084
160,200,7393.2,5.770879e-05,5.332342
170,200,7397.0,3.723531e-05,5.32195
180,200,7395.1,2.223258e-05,5.308501
190,200,7397.2,1.307747e-05,5.286946
200,200,7394.3,1e-05,5.279747
