iteration,total_iterations,elapsed_ms,learning_rate,loss
10,200,2397.6,0.0004980289,9.387527
20,200,2084.3,0.0004900758,6.517563
30,200,2097.3,0.000476217,6.367735
40,200,2110.1,0.0004568008,6.259282
50,200,2111.6,0.0004323148,6.171059
60,200,2108.4,0.0004033744,6.085518
70,200,2107.8,0.0003707064,5.973796
80,200,2106.9,0.0003351317,5.898212
90,200,2104.4,0.0002975438,5.83193
100,200,2103.4,0.0002588872,5.755033
110,200,2108.0,0.0002201329,5.666295
120,200,2104.2,0.0001822545,5.570747
130,200,2108.9,0.0001462037,5.498168
140,200,2104.2,0.0001128861,5.426583
150,200,2103.8,8.313865e-05,5.380328
160,200,2104.2,5.770879e-05,5.351408
170,200,2105.2,3.723531e-05,5.333347
180,200,2105.8,2.223258e-05,5.317454
190,200,2105.6,1.307747e-05,5.293869
200,200,2106.1,1e-05,5.284687
