iteration,total_iterations,elapsed_ms,learning_rate,loss
10,200,2918.6,0.0004980289,9.420216
20,200,2385.9,0.0004900758,6.533555
30,200,2399.1,0.000476217,6.381619
40,200,2408.4,0.0004568008,6.25796
50,200,2410.6,0.0004323148,6.160627
60,200,2412.9,0.0004033744,6.0561
70,200,2411.2,0.0003707064,5.952446
80,200,2412.7,0.0003351317,5.885787
90,200,2411.7,0.0002975438,5.799012
100,200,2410.9,0.0002588872,5.7106
110,200,2411.6,0.0002201329,5.616439
120,200,2408.5,0.0001822545,5.506223
130,200,2409.9,0.0001462037,5.444101
140,200,2410.3,0.0001128861,5.378738
150,200,2410.2,8.313865e-05,5.338454
160,200,2409.7,5.770879e-05,5.313517
170,200,2409.6,3.723531e-05,5.294771
180,200,2409.3,2.223258e-05,5.279405
190,200,2407.2,1.307747e-05,5.254479
200,200,2406.9,1e-05,5.245824
